"city,state",Latitude,Longitude,,
"Springdale, AR",36.16722,-94.240112,,
"Van Buren, AR",35.496491,-94.299086,,
"Walnut Ridge, AR",36.0684,-90.95595,,
"Warren, AR",33.573602,-92.097852,,
"Wynne, AR",35.274844,-90.798946,,
"Benson, AZ",32.035885,-110.262611,,
"CottonWood, AZ",34.73919,-112.00988,,
"Flagstaff, AZ",35.287661,-111.639303,,
"Globe, AZ",33.566039,-110.757756,,
"Kingman, AZ",35.131719,-113.703932,,
"Mesa, AZ",33.440695,-111.856967,,
"Prescott, AZ",34.591349,-112.426312,,
"Prescott Valley, AZ",34.668291,-112.307777,,
"Safford, AZ",32.813612,-109.701631,,
"Show Low, AZ",34.313307,-110.020527,,
"Sierra Vista, AZ",31.571011,-110.170235,,
"Tempe, AZ",33.401395,-111.931298,,
"Tucson, AZ",32.217975,-110.970869,,
"Wickenburg, AZ",33.276539,-112.18717,,
"Willcox, AZ",32.407245,-109.96549,,
"Yuma, AZ",32.701461,-114.657232,,
"Alamosa, CO",37.479933,-105.790967,,
"Aspen, CO",39.169324,-106.776744,,
"Boulder, CO",40.049468,-105.201421,,
"Brighton, CO",39.942984,-104.786597,,
"Burlington, CO",39.30611,-102.26936,,
"Canon City, CO",38.477727,-105.507603,,
"Cheyenne Wells, CO",38.827259,-102.411537,,
"Colorado Springs, CO",38.861469,-104.857828,,
"Cortez, CO",37.373594,-108.662826,,
"Craig, CO",40.745223,-107.694794,,
"Del Norte, CO",37.644684,-106.407311,,
"Delta, CO",38.74221,-108.06896,,
"Denver, CO",39.726303,-104.856808,,
"Englewood, CO",39.645995,-105.011411,,
"Frisco, CO",39.558929,-106.133183,,
"Fruita, CO",39.149614,-108.685164,,
"Glenwood Springs, CO",39.601448,-107.304314,,
"Grand Junction, CO",39.069019,-108.583126,,
"Gunnison, CO",38.528323,-107.037294,,
"Haxtun, CO",40.601383,-102.523842,,
"Holyoke, CO",40.587166,-102.272326,,
"Hugo, CO",39.022942,-103.457864,,
"Julesburg, CO",40.98833,-102.26435,,
"Kremmling, CO",40.147681,-106.378296,,
"La Jara, CO",37.276566,-106.007989,,
"La Junta, CO",37.954619,-103.664437,,
"Lafayette, CO",40.026334,-105.104899,,
"Lakewood, CO",39.744773,-105.115977,,
"Lamar, CO",38.08723,-102.62075,,
"Littleton, CO",39.597937,-105.010182,,
"Lone Tree, CO",39.55171,-104.8863,,
"Longmont, CO",40.164837,-105.103179,,
"Louisville, CO",39.950948,-105.159078,,
"Montrose, CO",38.484148,-107.770845,,
"Parker, CO",39.489472,-104.844731,,
"Pueblo, CO",38.293234,-104.536493,,
"Rangely, CO",39.936331,-108.650793,,
"Rifle, CO",39.582273,-107.794723,,
"Salida, CO",38.629119,-106.120582,,
"Springfield, CO",37.371522,-102.677359,,
"Steamboat Springs, CO",40.486391,-106.829354,,
"Trinidad, CO",37.269059,-104.5038,,
"Vail, CO",39.675999,-106.308296,,
"Walsenburg, CO",37.646467,-104.779815,,
"Westminster, CO",39.830822,-105.03747,,
"Wheat Ridge, CO",39.776986,-105.108182,,
"Wray, CO",40.068525,-102.392973,,
"Bridgeport, CT",41.308873,-73.363661,,
"Bristol, CT",41.681198,-72.939577,,
"Danbury, CT",41.376242,-73.471416,,
"Derby, CT",41.327246,-73.084252,,
"Farmington, CT",41.791776,-72.718832,,
"Greenwich, CT",41.042746,-73.62617,,
"Hartford, CT",41.78007,-72.677099,,
"Manchester, CT",41.776048,-72.523748,,
"Middletown, CT",41.550139,-72.655357,,
"Milford, CT",41.22232,-73.0565,,
"New Haven, CT",41.365709,-72.927507,,
"New London, CT",41.35565,-72.09952,,
"Norwalk, CT",41.126146,-73.442423,,
"Putnam, CT",41.9151,-71.90896,,
"Sharon, CT",41.874681,-73.433903,,
"Stafford Springs, CT",41.95956,-72.31072,,
"Stamford, CT",41.054082,-73.536216,,
"Torrington, CT",41.87484,-73.126763,,
"Vernon Rockville, CT",41.837523,-72.459123,,
"Waterbury, CT",41.365709,-72.927507,,
"West Hartford, CT",41.763137,-72.727308,,
"Washington, DC",38.911936,-77.016719,,
"Dover, DE",39.156376,-75.49549,,
"Milford, DE",38.91261,-75.42797,,
"Seaford, DE",38.64123,-75.61104,,
"Arcadia, FL",27.186146,-81.809939,,
"Belle Glade, FL",26.645895,-80.430269,,
"Bradenton, FL",27.404731,-82.470456,,
"Cape Coral, FL",26.606491,-81.95016,,
"Chipley, FL",30.634834,-85.577618,,
"Clermont, FL",28.584025,-81.779423,,
"Clewiston, FL",26.630066,-81.090897,,
"Cocoa Beach, FL",28.325685,-80.623424,,
"Coral Gables, FL",28.053073,-82.742879,,
"Coral Springs, FL",29.503564,-98.647106,,
"DeLand, FL",29.05725,-81.225582,,
"Deerfield Beach, FL",26.311102,-80.09787,,
"Fernandina Beach, FL",30.609692,-81.49172,,
"Fort Lauderdale, FL",26.121323,-80.127909,,
"Fort Myers, FL",26.621074,-81.878139,,
"Ft. Lauderdale, FL",26.192028,-80.096433,,
"Gulf Breeze, FL",30.347061,-87.113185,,
"Hialeah, FL",25.558428,-80.458168,,
"Hollywood, FL",26.027459,-80.120219,,
"Jacksonville, FL",30.337538,-81.768622,,
"Jacksonville Beach, FL",30.280143,-81.416506,,
"Jay, FL",30.95296,-87.15136,,
"Jupiter, FL",26.936558,-80.131851,,
"Lake Placid, FL",27.336002,-81.36628,,
"Lake Wales, FL",27.900707,-81.58445,,
"Lakeland, FL",28.035908,-81.899669,,
"Leesburg, FL",28.758895,-81.888695,,
"Lehigh Acres, FL",26.593573,-81.661922,,
"Longwood, FL",28.705924,-81.340639,,
"Madison, FL",30.527068,-83.388742,,
"Marianna, FL",30.799574,-85.229347,,
"Melbourne, FL",28.079357,-80.623618,,
"Miami, FL",25.558428,-80.458168,,
"Miami Beach, FL",25.558428,-80.458168,,
"Middleburg, FL",30.031702,-81.848401,,
"Miramar, FL",25.987314,-80.232271,,
"Miramar Beach, FL",30.385086,-86.346246,,
"Naples, FL",26.032137,-81.761821,,
"New Smyrna Beach, FL",28.951931,-81.033705,,
"Ocoee, FL",28.569438,-81.530251,,
"Orange City, FL",28.939904,-81.301856,,
"Orlando, FL",28.545179,-81.373291,,
"Ormond Beach, FL",29.022729,-81.172169,,
"Palm Beach Gardens, FL",26.600995,-80.038113,,
"Palm Coast, FL",29.466085,-81.282815,,
"Palm Springs, FL",26.635901,-80.096154,,
"Panama City, FL",30.159737,-85.660922,,
"Pembroke Pines, FL",26.021239,-80.340396,,
"Pensacola, FL",30.428781,-87.222516,,
"Perry, FL",30.17247,-83.609333,,
"Port St. Joe, FL",29.838272,-85.298199,,
"Port St. Lucie, FL",27.312492,-80.313322,,
"Saint Augustine, FL",29.918235,-81.367087,,
"Sebring, FL",27.457947,-81.373012,,
"Stuart, FL",27.189748,-80.254768,,
"Tampa, FL",27.996097,-82.582035,,
"Tarpon Springs, FL",28.147125,-82.678972,,
"The Villages, FL",28.45743,-82.409148,,
"Venice, FL",27.167521,-82.380967,,
"Vero Beach, FL",27.638005,-80.40294,,
"Wauchula, FL",27.518602,-81.784123,,
"West Palm Beach, FL",26.715844,-80.070249,,
"Weston, FL",26.11363,-80.41699,,
"Williston, FL",29.38747,-82.44677,,
"Adel, GA",31.151742,-83.407143,,
"Albany, GA",31.560674,-84.176751,,
"Alma, GA",31.576952,-82.461197,,
"Americus, GA",32.040432,-84.215282,,
"Athens, GA",33.992902,-83.353697,,
"Atlanta, GA",33.844371,-84.47405,,
"Austell, GA",33.836897,-84.630729,,
"Bainbridge, GA",30.888734,-84.617836,,
"Baxley, GA",31.756861,-82.350837,,
"Blairsville, GA",34.867512,-83.967636,,
"Blakely, GA",31.346088,-84.901178,,
"Blue Ridge, GA",34.831246,-84.331339,,
"Cairo, GA",30.857503,-84.22903,,
"Calhoun, GA",34.496921,-84.887942,,
"Camilla, GA",31.249152,-84.242837,,
"Cartersville, GA",34.200787,-84.847108,,
"Cedartown, GA",33.998841,-85.239429,,
"Chatsworth, GA",34.785543,-84.771623,,
"Claxton, GA",32.160611,-81.923832,,
"Clayton, GA",34.886868,-83.375358,,
"Cochran, GA",32.383904,-83.321095,,
"Colquitt, GA",31.16251,-84.713359,,
"Columbus, GA",32.472864,-84.97823,,
"Commerce, GA",34.217179,-83.482653,,
"Conyers, GA",33.719178,-84.002061,,
"Cordele, GA",31.917178,-83.785365,,
"Covington, GA",33.529341,-83.849622,,
"Cuthbert, GA",31.731183,-84.832234,,
"Dalton, GA",34.801861,-84.989796,,
"Demorest, GA",34.573483,-83.575411,,
"Donalsonville, GA",30.918229,-84.867238,,
"Douglas, GA",31.509338,-82.857131,,
"Dublin, GA",32.459291,-82.938121,,
"Eastman, GA",32.143564,-83.194358,,
"Eatonton, GA",33.320818,-83.355865,,
"Fayetteville, GA",33.467941,-84.480626,,
"Fitzgerald, GA",31.748753,-83.235412,,
"Forsyth, GA",33.025944,-83.915021,,
"Fort Oglethorpe, GA",34.94896,-85.2569,,
"Fort Valley, GA",32.560698,-83.854528,,
"Greensboro, GA",33.560655,-83.193389,,
"Griffin, GA",33.265854,-84.289552,,
"Hawkinsville, GA",32.275664,-83.49009,,
"Hazlehurst, GA",31.806871,-82.626991,,
"Hiawassee, GA",34.906339,-83.72739,,
"Hinesville, GA",31.806832,-81.437074,,
"Hiram, GA",33.87566,-84.76216,,
"Jackson, GA",33.319863,-83.981112,,
"Jasper, GA",34.469042,-84.428243,,
"Jesup, GA",31.600775,-81.957787,,
"Lavonia, GA",34.408031,-83.144241,,
"Louisville, GA",33.028798,-82.437965,,
"Macon, GA",32.804382,-83.617554,,
"Madison, GA",33.591117,-83.492928,,
"Marietta, GA",33.912473,-84.557181,,
"Metter, GA",32.39938,-82.048201,,
"Milledgeville, GA",33.072279,-83.239008,,
"Millen, GA",32.779376,-81.973904,,
"Monroe, GA",33.788322,-83.701264,,
"Monticello, GA",33.337906,-83.698508,,
"Moultrie, GA",31.183438,-83.789698,,
"Newnan, GA",33.369595,-84.819397,,
"Ocilla, GA",31.571754,-83.269632,,
"Perry, GA",32.43194,-83.722649,,
"Quitman, GA",30.78944,-83.587777,,
"Reidsville, GA",32.031081,-82.146011,,
"Riverdale, GA",33.555536,-84.397997,,
"Rome, GA",34.241733,-85.171591,,
"Roswell, GA",34.055198,-84.370475,,
"Sandersville, GA",32.974982,-82.840564,,
"Snellville, GA",33.817803,-84.022911,,
"Springfield, GA",32.369703,-81.361775,,
"Stockbridge, GA",33.549947,-84.207969,,
"Swainsboro, GA",32.569871,-82.346181,,
"Sylvania, GA",32.743851,-81.628687,,
"Sylvester, GA",31.603336,-83.850054,,
"Thomaston, GA",32.884509,-84.336486,,
"Thomasville, GA",30.853592,-83.888269,,
"Thomson, GA",33.494908,-82.513847,,
"Tifton, GA",31.462512,-83.593543,,
"Toccoa, GA",34.554103,-83.288828,,
"Vidalia, GA",32.198683,-82.39208,,
"Warm Springs, GA",32.906319,-84.716723,,
"Warner Robins, GA",32.580403,-83.653003,,
"Washington, GA",33.73149,-82.710833,,
"Waynesboro, GA",33.080724,-81.986767,,
"Tamuning, GU",13.444257,144.786297,,
"American Falls, ID",42.635233,-112.945777,,
"Arco, ID",43.634236,-113.213308,,
"Blackfoot, ID",43.251328,-112.464518,,
"Bonners Ferry, ID",48.814078,-116.398202,,
"Caldwell, ID",43.661908,-116.65629,,
"Cascade, ID",44.692713,-115.641659,,
"Coeur D'Alene, ID",47.691736,-116.654109,,
"Cottonwood, ID",46.04849,-116.34959,,
"Driggs, ID",43.713752,-111.158402,,
"Emmett, ID",43.908876,-116.492657,,
"Gooding, ID",42.907488,-114.773963,,
"Grangeville, ID",45.869801,-116.19729,,
"Kellogg, ID",47.53826,-116.11933,,
"Lewiston, ID",46.3646,-116.860852,,
"Malad City, ID",42.236441,-112.556004,,
"Montpelier, ID",42.28644,-111.29681,,
"Moscow, ID",46.735334,-116.870147,,
"Orofino, ID",46.4976,-116.184848,,
"Pocatello, ID",42.904933,-112.380079,,
"Preston, ID",42.207376,-111.812126,,
"Rexburg, ID",43.79132,-111.771375,,
"Rupert, ID",42.688753,-113.648077,,
"Saint Maries, ID",47.279233,-116.646826,,
"Salmon, ID",45.171856,-113.921041,,
"Sandpoint, ID",48.299486,-116.553968,,
"Soda Springs, ID",42.772866,-111.634757,,
"Weiser, ID",44.304193,-116.859937,,
"Anderson, IN",40.141033,-85.766164,,
"Angola, IN",41.672567,-85.000474,,
"Auburn, IN",41.377758,-85.027689,,
"Avon, IN",39.764395,-86.403457,,
"Batesville, IN",39.30005,-85.22218,,
"Bedford, IN",38.86116,-86.48721,,
"Bloomington, IN",39.07881,-86.435094,,
"Bluffton, IN",40.71327,-85.2023,,
"Bremen, IN",41.40577,-86.242235,,
"Carmel, IN",39.962604,-86.174761,,
"Clinton, IN",39.746685,-87.458654,,
"Columbia City, IN",41.14956,-85.50042,,
"Columbus, IN",39.191447,-85.891338,,
"Connersville, IN",39.656933,-85.168099,,
"Corydon, IN",38.1863,-86.145211,,
"Crawfordsville, IN",40.042425,-86.893538,,
"Crown Point, IN",41.444409,-87.360089,,
"Danville, IN",39.766794,-86.530319,,
"Decatur, IN",40.81911,-84.93785,,
"Dyer, IN",41.4942,-87.52171,,
"East Chicago, IN",41.640835,-87.46149,,
"Elkhart, IN",41.71873,-85.937024,,
"Elwood, IN",40.27698,-85.84192,,
"Evansville, IN",37.997128,-87.574963,,
"Fishers, IN",39.95559,-86.01387,,
"Fort Wayne, IN",41.093763,-85.070713,,
"Franklin, IN",39.469172,-86.068718,,
"Gary, IN",41.590686,-87.319937,,
"Goshen, IN",41.584839,-85.858059,,
"Greencastle, IN",39.699485,-86.857172,,
"Greenfield, IN",39.821787,-85.775403,,
"Greensburg, IN",39.299802,-85.491781,,
"Hammond, IN",41.691701,-87.510921,,
"Hartford City, IN",40.472672,-85.326447,,
"Hobart, IN",41.53226,-87.25504,,
"Huntington, IN",40.842697,-85.489225,,
"Indianapolis, IN",39.775092,-86.13216,,
"Jasper, IN",38.360357,-86.929481,,
"Jeffersonville, IN",38.333402,-85.697211,,
"Kendallville, IN",41.44144,-85.26498,,
"Kokomo, IN",40.506851,-86.171054,,
"LaGrange, IN",41.655135,-85.387208,,
"Lafayette, IN",40.417778,-86.889633,,
"Lawrenceburg, IN",39.152741,-84.891015,,
"Lebanon, IN",40.050302,-86.490381,,
"Linton, IN",39.04963,-87.126965,,
"Logansport, IN",40.77927,-86.375168,,
"Madison, IN",38.804552,-85.420605,,
"Marion, IN",40.599427,-85.629225,,
"Michigan City, IN",41.68934,-86.869178,,
"Mishawaka, IN",41.615082,-86.14782,,
"Mooresville, IN",39.61282,-86.37416,,
"Muncie, IN",40.142124,-85.389874,,
"Munster, IN",41.550535,-87.502585,,
"New Albany, IN",38.293355,-85.837911,,
"New Castle, IN",39.92487,-85.366926,,
"Newburgh, IN",38.06242,-87.245214,,
"Noblesville, IN",40.073328,-85.999521,,
"North Vernon, IN",39.023539,-85.622328,,
"Paoli, IN",38.513132,-86.459473,,
"Peru, IN",40.73991,-86.07581,,
"Plymouth, IN",41.352997,-86.301486,,
"Portland, IN",40.431634,-84.983015,,
"Princeton, IN",38.303369,-87.534003,,
"Rensselaer, IN",40.994793,-87.10368,,
"Rochester, IN",41.040988,-86.254272,,
"Rushville, IN",39.612836,-85.439133,,
"Salem, IN",38.608621,-86.079404,,
"Scottsburg, IN",38.671448,-85.709688,,
"Seymour, IN",38.944827,-86.010789,,
"Shelbyville, IN",39.511568,-85.791993,,
"South Bend, IN",41.673383,-86.251654,,
"Tell City, IN",37.999711,-86.731971,,
"Terre Haute, IN",39.433602,-87.410094,,
"Valparaiso, IN",41.454731,-87.065565,,
"Vincennes, IN",38.707231,-87.417306,,
"Wabash, IN",40.801867,-85.791823,,
"Warsaw, IN",41.2228,-85.860179,,
"Washington, IN",38.689503,-87.121505,,
"Winamac, IN",41.035862,-86.622156,,
"Winchester, IN",40.159854,-84.984682,,
"Abilene, KS",38.9111,-97.195283,,
"Andover, KS",37.701532,-97.098431,,
"Anthony, KS",37.111488,-98.048121,,
"Arkansas City, KS",37.06197,-97.03837,,
"Ashland, KS",37.171946,-99.769576,,
"Atchison, KS",39.535948,-95.225098,,
"Atwood, KS",39.824688,-101.041371,,
"Belleville, KS",39.836218,-97.601461,,
"Beloit, KS",39.441631,-98.119189,,
"Burlington, KS",38.236316,-95.733598,,
"Caldwell, KS",37.133257,-97.601664,,
"Chanute, KS",37.609218,-95.416422,,
"Clay Center, KS",39.349452,-97.164849,,
"Coffeyville, KS",37.0373,-95.61637,,
"Colby, KS",39.40152,-100.973696,,
"Coldwater, KS",37.25486,-99.322574,,
"Columbus, KS",37.169887,-94.889857,,
"Concordia, KS",39.551634,-97.656764,,
"Council Grove, KS",38.69588,-96.5469,,
"Dighton, KS",38.474188,-100.464651,,
"Dodge City, KS",37.690531,-99.902421,,
"El Dorado, KS",37.830491,-96.865969,,
"Elkhart, KS",37.00405,-101.896973,,
"Ellinwood, KS",38.35557,-98.58091,,
"Ellsworth, KS",38.696579,-98.205437,,
"Emporia, KS",38.434153,-96.152766,,
"Eureka, KS",37.755154,-96.170019,,
"Fort Scott, KS",37.821629,-94.714793,,
"Fredonia, KS",37.571672,-95.748418,,
"Garden City, KS",38.000771,-100.664407,,
"Garnett, KS",38.232767,-95.286458,,
"Goodland, KS",39.358123,-101.798885,,
"Great Bend, KS",38.393567,-98.775074,,
"Greensburg, KS",37.6028,-99.29261,,
"Hanover, KS",39.867079,-96.896534,,
"Harper, KS",37.291318,-98.038455,,
"Hays, KS",38.878202,-99.334803,,
"Herington, KS",38.67112,-96.94251,,
"Hiawatha, KS",39.791367,-95.600405,,
"Hill City, KS",39.366018,-99.842382,,
"Hillsboro, KS",38.347988,-97.205656,,
"Hoisington, KS",38.478935,-98.756485,,
"Holton, KS",39.481012,-95.765586,,
"Horton, KS",39.664076,-95.527212,,
"Hoxie, KS",39.355013,-100.440513,,
"Hugoton, KS",37.243161,-101.281684,,
"Hutchinson, KS",37.954312,-97.88569,,
"Iola, KS",37.885757,-95.391057,,
"Jetmore, KS",38.023937,-99.893681,,
"Johnson, KS",37.562997,-101.707858,,
"Junction City, KS",39.026465,-96.783359,,
"Kansas City, KS",39.103053,-94.630384,,
"Kingman, KS",37.596364,-98.130432,,
"Kinsley, KS",37.91204,-99.478881,,
"Kiowa, KS",37.138561,-98.503736,,
"La Crosse, KS",38.531867,-99.300546,,
"Lakin, KS",37.938907,-101.264981,,
"Larned, KS",38.194644,-99.10096,,
"Lawrence, KS",39.023294,-95.208909,,
"Leavenworth, KS",39.279656,-94.982216,,
"Leoti, KS",38.477827,-101.293036,,
"Liberal, KS",37.043237,-100.873809,,
"Lincoln, KS",39.102718,-98.214909,,
"Lindsborg, KS",38.497407,-97.628859,,
"Lyons, KS",38.376979,-98.193184,,
"Mankato, KS",39.787529,-98.20595,,
"Marion, KS",38.284561,-96.965255,,
"Marysville, KS",39.863544,-96.617219,,
"McPherson, KS",38.376302,-97.670184,,
"Meade, KS",37.238357,-100.316583,,
"Medicine Lodge, KS",37.291739,-98.620996,,
"Minneapolis, KS",39.141097,-97.650674,,
"Minneola, KS",37.442546,-100.008811,,
"Moundridge, KS",38.217149,-97.523327,,
"Neodesha, KS",37.41839,-95.68026,,
"Ness City, KS",38.455316,-99.905723,,
"Newton, KS",38.044857,-97.317279,,
"Norton, KS",39.827955,-99.891726,,
"Oakley, KS",38.945805,-100.970176,,
"Oberlin, KS",39.820834,-100.529554,,
"Olathe, KS",38.899901,-94.831991,,
"Onaga, KS",39.48888,-96.17,,
"Osborne, KS",39.385738,-98.795417,,
"Oswego, KS",37.16757,-95.10996,,
"Ottawa, KS",38.564337,-95.282668,,
"Overland Park, KS",39.02315,-94.669467,,
"Paola, KS",38.577932,-94.880328,,
"Parsons, KS",37.34034,-95.26108,,
"Phillipsburg, KS",39.779113,-99.346302,,
"Pittsburg, KS",37.41088,-94.70496,,
"Plainville, KS",39.248844,-99.316373,,
"Pratt, KS",37.63857,-98.758512,,
"Quinter, KS",39.063613,-100.238001,,
"Ransom, KS",38.635962,-99.932676,,
"Russell, KS",38.905159,-98.784797,,
"Sabetha, KS",39.899941,-95.802372,,
"Saint Francis, KS",39.680371,-101.909252,,
"Salina, KS",38.823673,-97.642113,,
"Satanta, KS",37.441023,-100.998474,,
"Scott City, KS",38.482307,-100.906427,,
"Sedan, KS",37.134351,-96.219212,,
"Seneca, KS",39.847328,-96.031629,,
"Smith Center, KS",39.77918,-98.78507,,
"Stafford, KS",37.96224,-98.60064,,
"Syracuse, KS",37.986428,-101.751732,,
"Topeka, KS",38.988075,-95.780662,,
"Tribune, KS",38.469704,-101.747853,,
"Ulysses, KS",37.562467,-101.308565,,
"Wakeeney, KS",39.020792,-99.888083,,
"Wamego, KS",39.298416,-96.341383,,
"Washington, KS",39.781107,-97.054286,,
"Wellington, KS",37.280877,-97.42223,,
"Wichita, KS",37.651974,-97.258997,,
"Winchester, KS",39.32222,-95.26692,,
"Winfield, KS",37.232126,-96.996334,,
"Albany, KY",36.745738,-85.181967,,
"Ashland, KY",38.473824,-82.647933,,
"Barbourville, KY",36.810109,-83.894888,,
"Bardstown, KY",37.822585,-85.466944,,
"Benton, KY",36.888765,-88.305502,,
"Berea, KY",37.592589,-84.235247,,
"Bowling Green, KY",37.017407,-86.451752,,
"Burkesville, KY",36.769106,-85.408741,,
